,movieId,genres_x,tconst,titleType,primaryTitle,isAdult,startYear,endYear,runtimeMinutes,genres_y,directors,averageRating,numVotes
35,26514,Comedy|Drama|Romance,tt0087482,movie,Irreconcilable Differences,0,1984,\N,113,"Comedy,Drama,Romance",Charles Shyer,5.8,2846.0
36,6,Action|Crime|Thriller,tt0113277,movie,Heat,0,1995,\N,170,"Crime,Drama,Thriller",Michael Mann,8.2,569886.0
37,1408,Action|Romance|War|Western,tt0104691,movie,The Last of the Mohicans,0,1992,\N,112,"Action,Adventure,Drama",Michael Mann,7.7,147554.0
38,3006,Drama|Thriller,tt0140352,movie,The Insider,0,1999,\N,157,"Biography,Drama,Thriller",Michael Mann,7.8,158559.0
39,4210,Action|Crime|Drama|Horror|Thriller,tt0091474,movie,Manhunter,0,1986,\N,120,"Crime,Horror,Mystery",Michael Mann,7.2,65276.0
40,5009,Drama,tt0248667,movie,Ali,0,2001,\N,157,"Biography,Drama,Sport",Michael Mann,6.8,93075.0
41,5867,Crime|Drama|Thriller,tt0083190,movie,Thief,0,1981,\N,123,"Action,Crime,Drama",Michael Mann,7.4,24953.0
42,6653,Horror|Thriller,tt0085780,movie,The Keep,0,1983,\N,96,"Drama,Fantasy,Horror",Michael Mann,5.8,10743.0
43,8798,Action|Crime|Drama|Thriller,tt0369339,movie,Collateral,0,2004,\N,120,"Crime,Drama,Thriller",Michael Mann,7.5,356649.0
44,47044,Action|Crime|Drama|Thriller,tt0430357,movie,Miami Vice,0,2006,\N,132,"Action,Crime,Drama",Michael Mann,6.0,109381.0
45,69640,Crime|Drama|Thriller,tt1152836,movie,Public Enemies,0,2009,\N,140,"Biography,Crime,Drama",Michael Mann,7.0,280320.0
46,85883,Crime|Drama,tt0079366,tvMovie,The Jericho Mile,0,1979,\N,97,"Crime,Drama,Sport",Michael Mann,7.3,1467.0
47,120637,Action|Crime|Drama|Mystery|Thriller,tt2717822,movie,Blackhat,0,2015,\N,133,"Action,Crime,Thriller",Michael Mann,5.4,51666.0
48,7,Comedy|Romance,tt0114319,movie,Sabrina,0,1995,\N,127,"Comedy,Drama,Romance",Sydney Pollack,6.3,36418.0
49,454,Drama|Thriller,tt0106918,movie,The Firm,0,1993,\N,154,"Drama,Mystery,Thriller",Sydney Pollack,6.8,118935.0
50,1959,Drama|Romance,tt0089755,movie,Out of Africa,0,1985,\N,161,"Biography,Drama,Romance",Sydney Pollack,7.2,71889.0
51,2819,Drama|Mystery|Romance|Thriller,tt0073802,movie,Three Days of the Condor,0,1975,\N,117,"Mystery,Thriller",Sydney Pollack,7.4,47708.0
52,2906,Drama|Romance,tt0156934,movie,Random Hearts,0,1999,\N,133,"Drama,Mystery,Romance",Sydney Pollack,5.3,19884.0
53,3011,Drama,tt0065088,movie,"They Shoot Horses, Don't They?",0,1969,\N,129,Drama,Sydney Pollack,7.9,16080.0
54,3074,Western,tt0068762,movie,Jeremiah Johnson,0,1972,\N,108,"Adventure,Drama,Western",Sydney Pollack,7.6,28341.0
55,3194,Drama|Romance,tt0070903,movie,The Way We Were,0,1973,\N,118,"Drama,Romance",Sydney Pollack,7.1,22098.0
56,4361,Comedy|Romance,tt0084805,movie,Tootsie,0,1982,\N,116,"Comedy,Drama,Romance",Sydney Pollack,7.4,97029.0
57,5707,Drama|Romance,tt0081974,movie,Absence of Malice,0,1981,\N,116,"Drama,Romance,Thriller",Sydney Pollack,6.9,11840.0
58,6413,Comedy|Western,tt0079100,movie,The Electric Horseman,0,1979,\N,121,"Comedy,Drama,Romance",Sydney Pollack,6.4,7354.0
59,7184,Drama|Romance,tt0061089,movie,This Property Is Condemned,0,1966,\N,110,"Drama,Romance",Sydney Pollack,7.1,5204.0
60,7949,Drama,tt0073918,movie,The Yakuza,0,1974,\N,112,"Action,Crime,Drama",Sydney Pollack,7.2,7776.0
61,8789,Drama|War,tt0064137,movie,Castle Keep,0,1969,\N,107,"Action,Comedy,Drama",Sydney Pollack,6.2,2695.0
62,26689,Drama,tt0099747,movie,Havana,0,1990,\N,144,"Drama,Romance,War",Sydney Pollack,6.1,7137.0
63,27821,Drama|Thriller,tt0373926,movie,The Interpreter,0,2005,\N,128,"Crime,Mystery,Thriller",Sydney Pollack,6.4,96851.0
64,47836,Documentary,tt0446784,tvEpisode,Sketches of Frank Gehry,0,2005,\N,83,"Biography,Documentary",Sydney Pollack,7.1,1499.0
65,77808,Drama|Romance,tt0075774,movie,Bobby Deerfield,0,1977,\N,124,"Drama,Romance",Sydney Pollack,5.9,3764.0
66,78620,Comedy|Western,tt0063557,movie,The Scalphunters,0,1968,\N,102,"Comedy,Western",Sydney Pollack,6.8,3201.0
67,78860,Drama,tt0059729,movie,The Slender Thread,0,1965,\N,98,Drama,Sydney Pollack,7.0,1888.0
68,8,Adventure|Children,tt0112302,movie,Tom and Huck,0,1995,\N,97,"Adventure,Comedy,Drama",Peter Hewitt,5.5,9832.0
69,1848,Adventure|Children|Comedy|Fantasy,tt0118755,movie,The Borrowers,0,1997,\N,89,"Adventure,Comedy,Family",Peter Hewitt,5.9,19717.0
70,4348,Comedy,tt0194530,movie,Whatever Happened to Harold Smith?,0,1999,\N,95,Comedy,Peter Hewitt,6.4,1160.0
71,4980,Adventure|Comedy|Fantasy|Sci-Fi,tt0101452,movie,Bill & Ted's Bogus Journey,0,1991,\N,93,"Adventure,Comedy,Fantasy",Peter Hewitt,6.3,68064.0
72,8372,Animation|Children|Comedy,tt0356634,movie,Garfield,0,2004,\N,80,"Animation,Comedy,Family",Peter Hewitt,5.0,78631.0
73,47384,Adventure|Comedy|Drama|Fantasy,tt0383060,movie,Zoom,0,2006,\N,93,"Action,Adventure,Comedy",Peter Hewitt,4.4,18795.0
74,73431,Comedy|Crime,tt1107860,movie,The Maiden Heist,0,2009,\N,90,"Comedy,Crime",Peter Hewitt,6.1,15548.0
75,118300,Children|Comedy|Crime,tt2308733,tvMovie,Home Alone: The Holiday Heist,0,2012,\N,87,"Comedy,Crime,Family",Peter Hewitt,3.5,7838.0
76,120317,Children|Comedy|Sci-Fi,tt0283054,movie,Thunderpants,0,2002,\N,87,"Comedy,Family,Sci-Fi",Peter Hewitt,3.7,5302.0
77,9,Action,tt0114576,movie,Sudden Death,0,1995,\N,111,"Action,Crime,Thriller",Peter Hyams,5.8,31983.0
78,379,Action|Sci-Fi|Thriller,tt0111438,movie,Timecop,0,1994,\N,99,"Action,Crime,Sci-Fi",Peter Hyams,5.9,55280.0
79,879,Horror|Thriller,tt0120004,movie,The Relic,0,1997,\N,110,"Horror,Mystery,Sci-Fi",Peter Hyams,5.8,24656.0
80,2311,Sci-Fi,tt0086837,movie,2010,0,1984,\N,116,"Adventure,Mystery,Sci-Fi",Peter Hyams,6.8,49342.0
81,2457,Action|Comedy,tt0091875,movie,Running Scared,0,1986,\N,107,"Action,Comedy,Crime",Peter Hyams,6.6,11259.0
82,3113,Action|Fantasy|Horror|Mystery|Thriller,tt0146675,movie,End of Days,0,1999,\N,122,"Action,Fantasy,Horror",Peter Hyams,5.8,104898.0
83,3197,Action|Crime|Romance|Thriller,tt0095897,movie,The Presidio,0,1988,\N,97,"Action,Crime,Mystery",Peter Hyams,6.0,16463.0
84,3669,Comedy,tt0105466,movie,Stay Tuned,0,1992,\N,88,"Adventure,Comedy,Fantasy",Peter Hyams,6.3,10471.0
85,4443,Action|Sci-Fi|Thriller,tt0082869,movie,Outland,0,1981,\N,109,"Action,Crime,Sci-Fi",Peter Hyams,6.6,27068.0
86,4756,Action|Adventure|Drama|Romance,tt0246544,movie,The Musketeer,0,2001,\N,104,"Action,Adventure,Romance",Peter Hyams,4.9,13975.0
87,26398,Drama|Sci-Fi|Thriller,tt0077294,movie,Capricorn One,0,1977,\N,123,"Action,Adventure,Drama",Peter Hyams,6.9,20062.0
88,26488,Action|Crime|Drama|Thriller,tt0086356,movie,The Star Chamber,0,1983,\N,109,"Crime,Drama,Mystery",Peter Hyams,6.3,6257.0
89,26698,Crime|Thriller,tt0100224,movie,Narrow Margin,0,1990,\N,97,"Action,Crime,Thriller",Peter Hyams,6.6,7899.0
90,27618,Action|Adventure|Drama|Sci-Fi|Thriller,tt0318081,movie,A Sound of Thunder,0,2005,\N,110,"Action,Adventure,Horror",Peter Hyams,4.2,18811.0
91,73089,Drama|Mystery,tt1183251,movie,Beyond a Reasonable Doubt,0,2009,\N,106,"Crime,Drama,Mystery",Peter Hyams,5.9,12224.0
92,111322,Comedy|Mystery,tt0073526,movie,Peeper,0,1975,\N,87,"Comedy,Crime,Mystery",Peter Hyams,5.7,631.0
93,111575,Drama|Romance,tt0071959,movie,Our Time,0,1974,\N,90,Drama,Peter Hyams,6.2,236.0
94,117714,Action|Thriller,tt2395199,movie,Enemies Closer,0,2013,\N,85,"Action,Thriller",Peter Hyams,5.2,5522.0
95,120837,Crime|Drama,tt0071259,movie,Busting,0,1974,\N,92,"Comedy,Crime,Drama",Peter Hyams,6.3,1123.0
96,10,Action|Adventure|Thriller,tt0113189,movie,GoldenEye,0,1995,\N,130,"Action,Adventure,Thriller",Martin Campbell,7.2,236905.0
97,504,Action|Drama|Sci-Fi,tt0110678,movie,No Escape,0,1994,\N,118,"Action,Drama,Sci-Fi",Martin Campbell,6.1,18427.0
98,2006,Action|Comedy|Romance,tt0120746,movie,The Mask of Zorro,0,1998,\N,136,"Action,Adventure,Comedy",Martin Campbell,6.7,167796.0
99,3999,Action|Adventure,tt0190865,movie,Vertical Limit,0,2000,\N,124,"Action,Adventure,Drama",Martin Campbell,5.9,58235.0
100,4491,Thriller,tt0097125,movie,Criminal Law,0,1988,\N,117,"Crime,Drama,Thriller",Martin Campbell,5.7,3565.0
101,6886,Drama|Romance|War,tt0294357,movie,Beyond Borders,0,2003,\N,127,"Adventure,Drama,Romance",Martin Campbell,6.5,26046.0
102,35721,Comedy|Fantasy|Horror,tt0101550,tvMovie,Cast a Deadly Spell,0,1991,\N,96,"Comedy,Fantasy,Horror",Martin Campbell,6.5,2994.0
103,39435,Action|Adventure|Drama|Western,tt0386140,movie,The Legend of Zorro,0,2005,\N,129,"Action,Adventure,Romance",Martin Campbell,6.0,92395.0
104,49272,Action|Adventure|Thriller,tt0381061,movie,Casino Royale,0,2006,\N,144,"Action,Adventure,Thriller",Martin Campbell,8.0,576888.0
105,73989,Thriller,tt0099397,movie,Defenseless,0,1991,\N,104,"Mystery,Thriller",Martin Campbell,5.7,676.0
106,74156,Drama|Thriller,tt1226273,movie,Edge of Darkness,0,2010,\N,117,"Action,Crime,Drama",Martin Campbell,6.6,89193.0
107,87430,Action|Adventure|Sci-Fi,tt1133985,movie,Green Lantern,0,2011,\N,114,"Action,Adventure,Sci-Fi",Martin Campbell,5.5,265084.0
108,11,Comedy|Drama|Romance,tt0112346,movie,The American President,0,1995,\N,114,"Comedy,Drama,Romance",Rob Reiner,6.8,51758.0
109,505,Comedy,tt0110687,movie,North,0,1994,\N,87,"Adventure,Comedy,Drama",Rob Reiner,4.5,13138.0
110,1197,Action|Adventure|Comedy|Fantasy|Romance,tt0093779,movie,The Princess Bride,0,1987,\N,98,"Adventure,Family,Fantasy",Rob Reiner,8.0,390110.0
111,1259,Adventure|Drama,tt0092005,movie,Stand by Me,0,1986,\N,89,"Adventure,Drama",Rob Reiner,8.1,359912.0
112,1288,Comedy,tt0088258,movie,This Is Spinal Tap,0,1984,\N,82,"Comedy,Music",Rob Reiner,7.9,127743.0
113,1307,Comedy|Romance,tt0098635,movie,When Harry Met Sally...,0,1989,\N,95,"Comedy,Drama,Romance",Rob Reiner,7.6,193205.0
114,1401,Drama,tt0116410,movie,Ghosts of Mississippi,0,1996,\N,130,"Drama,History",Rob Reiner,6.7,10045.0
115,2268,Crime|Drama|Thriller,tt0104257,movie,A Few Good Men,0,1992,\N,138,"Drama,Thriller",Rob Reiner,7.7,232737.0
116,2961,Comedy|Drama,tt0160916,movie,The Story of Us,0,1999,\N,95,"Comedy,Drama,Romance",Rob Reiner,6.0,21538.0
117,3499,Drama|Horror|Thriller,tt0100157,movie,Misery,0,1990,\N,107,"Drama,Thriller",Rob Reiner,7.8,182258.0
118,6493,Comedy|Drama|Romance,tt0318283,movie,Alex & Emma,0,2003,\N,96,"Comedy,Romance",Rob Reiner,5.6,12907.0
119,6636,Comedy|Romance,tt0090103,movie,The Sure Thing,0,1985,\N,100,"Comedy,Drama,Romance",Rob Reiner,7.0,19108.0
120,42007,Comedy|Drama|Romance,tt0398375,movie,Rumor Has It...,0,2005,\N,97,"Comedy,Drama,Romance",Rob Reiner,5.5,53544.0
121,56587,Comedy|Drama,tt0825232,movie,The Bucket List,0,2007,\N,97,"Adventure,Comedy,Drama",Rob Reiner,7.4,228876.0
122,80586,Comedy|Drama|Romance,tt0817177,movie,Flipped,0,2010,\N,90,"Comedy,Drama,Romance",Rob Reiner,7.7,80753.0
123,96969,Comedy|Drama,tt1839654,movie,The Magic of Belle Isle,0,2012,\N,109,"Comedy,Drama",Rob Reiner,7.0,17394.0
124,109877,Drama,tt2290075,tvMovie,8,0,2012,\N,91,"Drama,History",Rob Reiner,7.1,483.0
125,112749,Comedy|Drama|Romance,tt2465146,movie,And So It Goes,0,2014,\N,94,"Comedy,Drama,Romance",Rob Reiner,5.8,12719.0
126,12,Comedy|Horror,tt0112896,movie,Dracula: Dead and Loving It,0,1995,\N,88,"Comedy,Fantasy,Horror",Mel Brooks,5.9,38695.0
127,520,Comedy,tt0107977,movie,Robin Hood: Men in Tights,0,1993,\N,104,"Adventure,Comedy,Musical",Mel Brooks,6.7,115231.0
128,1278,Comedy|Fantasy,tt0072431,movie,Young Frankenstein,0,1974,\N,106,Comedy,Mel Brooks,8.0,142214.0
129,2300,Comedy,tt0063462,movie,The Producers,0,1967,\N,88,"Comedy,Music",Mel Brooks,7.6,49580.0
130,2301,Comedy|Musical,tt0082517,movie,History of the World: Part I,0,1981,\N,92,"Comedy,History,Musical",Mel Brooks,6.9,45517.0
131,3033,Comedy|Sci-Fi,tt0094012,movie,Spaceballs,0,1987,\N,96,"Adventure,Comedy,Sci-Fi",Mel Brooks,7.1,170647.0
132,3622,Comedy,tt0066495,movie,The Twelve Chairs,0,1970,\N,94,Comedy,Mel Brooks,6.5,5777.0
133,3671,Comedy|Western,tt0071230,movie,Blazing Saddles,0,1974,\N,93,"Comedy,Western",Mel Brooks,7.7,124892.0
134,6203,Comedy,tt0102303,movie,Life Stinks,0,1991,\N,92,Comedy,Mel Brooks,6.0,9440.0
135,8512,Comedy,tt0075222,movie,Silent Movie,0,1976,\N,87,Comedy,Mel Brooks,6.7,15935.0
136,26386,Comedy|Thriller,tt0076141,movie,High Anxiety,0,1977,\N,94,"Comedy,Mystery,Thriller",Mel Brooks,6.7,19660.0
137,13,Adventure|Animation|Children,tt0112453,movie,Balto,0,1995,\N,78,"Adventure,Animation,Drama",Simon Wells,7.1,39372.0
138,5171,Action|Adventure|Sci-Fi,tt0268695,movie,The Time Machine,0,2002,\N,96,"Action,Adventure,Sci-Fi",Simon Wells,6.0,117818.0
139,85261,Action|Adventure|Animation|Children|Comedy|Sci-Fi|IMAX,tt1305591,movie,Mars Needs Moms,0,2011,\N,88,"Action,Adventure,Animation",Simon Wells,5.4,20953.0
140,14,Drama,tt0113987,movie,Nixon,0,1995,\N,192,"Biography,Drama,History",Oliver Stone,7.1,28580.0
141,288,Action|Crime|Thriller,tt0110632,movie,Natural Born Killers,0,1994,\N,118,"Action,Crime,Drama",Oliver Stone,7.3,214800.0
142,465,Action|Drama|War,tt0107096,movie,Heaven & Earth,0,1993,\N,140,"Action,Biography,Drama",Oliver Stone,6.8,13179.0
143,1090,Drama|War,tt0091763,movie,Platoon,0,1986,\N,120,"Drama,War",Oliver Stone,8.1,377572.0
144,1093,Drama,tt0101761,movie,The Doors,0,1991,\N,140,"Biography,Drama,Music",Oliver Stone,7.2,83133.0
145,1627,Crime|Drama|Mystery,tt0120399,movie,U Turn,0,1997,\N,125,"Crime,Drama,Thriller",Oliver Stone,6.8,48987.0
146,3173,Drama,tt0146838,movie,Any Given Sunday,0,1999,\N,162,"Drama,Sport",Oliver Stone,6.9,111442.0
147,3386,Drama|Mystery|Thriller,tt0102138,movie,JFK,0,1991,\N,189,"Drama,History,Thriller",Oliver Stone,8.0,140590.0
148,4007,Drama,tt0094291,movie,Wall Street,0,1987,\N,126,"Crime,Drama",Oliver Stone,7.4,142267.0
149,4008,Drama|War,tt0096969,movie,Born on the Fourth of July,0,1989,\N,145,"Biography,Drama,War",Oliver Stone,7.2,97574.0
150,4009,Drama,tt0096219,movie,Talk Radio,0,1988,\N,110,Drama,Oliver Stone,7.3,12448.0
151,4407,Drama|Thriller|War,tt0091886,movie,Salvador,0,1986,\N,122,"Drama,History,Thriller",Oliver Stone,7.4,19153.0
152,5754,Drama|Horror,tt0082497,movie,The Hand,0,1981,\N,104,"Drama,Horror,Thriller",Oliver Stone,5.5,5478.0
153,8577,Documentary,tt0342213,movie,Comandante,0,2003,\N,99,Documentary,Oliver Stone,6.9,3610.0
154,8977,Action|Adventure|Drama|War,tt0346491,movie,Alexander,0,2004,\N,175,"Action,Biography,Drama",Oliver Stone,5.6,161461.0
155,46974,Drama,tt0469641,movie,World Trade Center,0,2006,\N,129,"Drama,History,Thriller",Oliver Stone,5.9,77332.0
156,62437,Drama,tt1175491,movie,W.,0,2008,\N,129,"Biography,Comedy,Drama",Oliver Stone,6.3,45951.0
157,80590,Drama,tt1027718,movie,Wall Street: Money Never Sleeps,0,2010,\N,133,Drama,Oliver Stone,6.2,97721.0
158,81276,Documentary,tt1337137,movie,South of the Border,0,2009,\N,78,Documentary,Oliver Stone,7.0,2829.0
159,95583,Crime|Drama|Thriller,tt1615065,movie,Savages,0,2012,\N,131,"Crime,Drama,Thriller",Oliver Stone,6.5,121512.0
160,110417,Horror,tt0072136,movie,Seizure,0,1974,\N,98,Horror,Oliver Stone,4.7,772.0
161,113970,Documentary,tt3595024,movie,Mi Amigo Hugo,0,2014,\N,52,Documentary,Oliver Stone,4.0,257.0
162,15,Action|Adventure|Romance,tt0112760,movie,Cutthroat Island,0,1995,\N,124,"Action,Adventure,Comedy",Renny Harlin,5.7,25829.0
163,434,Action|Adventure|Thriller,tt0106582,movie,Cliffhanger,0,1993,\N,113,"Action,Adventure,Thriller",Renny Harlin,6.4,118652.0
164,1047,Action|Drama|Thriller,tt0116908,movie,The Long Kiss Goodnight,0,1996,\N,121,"Action,Crime,Drama",Renny Harlin,6.8,72376.0
165,1370,Action|Adventure|Thriller,tt0099423,movie,Die Hard 2,0,1990,\N,124,"Action,Thriller",Renny Harlin,7.2,333110.0
166,1971,Horror|Thriller,tt0095742,movie,A Nightmare on Elm Street 4: The Dream Master,0,1988,\N,93,Horror,Renny Harlin,5.7,49673.0
167,2722,Action|Horror|Sci-Fi|Thriller,tt0149261,movie,Deep Blue Sea,0,1999,\N,105,"Action,Adventure,Sci-Fi",Renny Harlin,5.9,124243.0
168,3443,Action|Drama|Thriller,tt0091313,movie,Born American,0,1986,\N,97,"Action,Drama,Thriller",Renny Harlin,4.1,1796.0
169,4265,Action|Thriller,tt0132245,movie,Driven,0,2001,\N,116,"Action,Drama,Sport",Renny Harlin,4.6,39131.0
170,7193,Action|Comedy,tt0098987,movie,The Adventures of Ford Fairlane,0,1990,\N,104,"Action,Adventure,Comedy",Renny Harlin,6.5,17059.0
171,8369,Action|Crime|Horror|Mystery|Thriller,tt0297284,movie,Mindhunters,0,2004,\N,106,"Crime,Horror,Thriller",Renny Harlin,6.4,57670.0
172,8815,Horror|Thriller,tt0204313,movie,Exorcist: The Beginning,0,2004,\N,114,"Horror,Mystery,Thriller",Renny Harlin,5.2,33320.0
173,26638,Crime|Drama|Horror|Thriller,tt0095904,movie,Prison,0,1987,\N,102,"Crime,Drama,Horror",Renny Harlin,5.8,3830.0
174,47952,Action|Horror|Thriller,tt0475944,movie,The Covenant,0,2006,\N,97,"Action,Adventure,Fantasy",Renny Harlin,5.3,46599.0
175,57401,Crime|Thriller,tt0896798,movie,Cleaner,0,2007,\N,88,"Crime,Mystery,Thriller",Renny Harlin,6.1,37152.0
176,70361,Action|Thriller,tt1160368,movie,12 Rounds,0,2009,\N,108,"Action,Crime,Thriller",Renny Harlin,5.6,27098.0
177,94998,Action|Drama|War,tt1486193,movie,5 Days of War,0,2011,\N,113,"Action,Drama,War",Renny Harlin,5.6,13460.0
178,106508,Mystery|Thriller,tt1905040,movie,Devil's Pass,0,2013,\N,100,"Horror,Mystery,Thriller",Renny Harlin,5.7,22993.0
179,110295,Action|Adventure,tt1043726,movie,The Legend of Hercules,0,2014,\N,99,"Action,Adventure,Fantasy",Renny Harlin,4.2,52335.0
180,16,Crime|Drama,tt0112641,movie,Casino,0,1995,\N,178,"Crime,Drama",Martin Scorsese,8.2,460303.0
181,111,Crime|Drama|Thriller,tt0075314,movie,Taxi Driver,0,1976,\N,114,"Crime,Drama",Martin Scorsese,8.3,714802.0
182,412,Drama,tt0106226,movie,The Age of Innocence,0,1993,\N,139,"Drama,Romance",Martin Scorsese,7.2,52025.0
183,1213,Crime|Drama,tt0099685,movie,Goodfellas,0,1990,\N,146,"Biography,Crime,Drama",Martin Scorsese,8.7,1006715.0
184,1228,Drama,tt0081398,movie,Raging Bull,0,1980,\N,129,"Biography,Drama,Sport",Martin Scorsese,8.2,318306.0
185,1343,Thriller,tt0101540,movie,Cape Fear,0,1991,\N,128,"Crime,Thriller",Martin Scorsese,7.3,171772.0
186,1730,Drama,tt0119485,movie,Kundun,0,1997,\N,134,"Biography,Drama,History",Martin Scorsese,7.0,26144.0
187,2022,Drama,tt0095497,movie,The Last Temptation of Christ,0,1988,\N,164,Drama,Martin Scorsese,7.5,51718.0
188,2474,Drama,tt0090863,movie,The Color of Money,0,1986,\N,119,"Drama,Sport",Martin Scorsese,7.0,73990.0
189,2976,Drama,tt0163988,movie,Bringing Out the Dead,0,1999,\N,121,"Drama,Thriller",Martin Scorsese,6.8,63264.0
190,5275,Drama,tt0068309,movie,Boxcar Bertha,0,1972,\N,88,"Crime,Drama,Romance",Martin Scorsese,6.0,8428.0
191,5385,Documentary,tt0077838,movie,The Last Waltz,0,1978,\N,117,"Biography,Documentary,Music",Martin Scorsese,8.2,16089.0
192,5956,Crime|Drama,tt0217505,movie,Gangs of New York,0,2002,\N,167,"Crime,Drama",Martin Scorsese,7.5,401455.0
193,6001,Comedy|Drama,tt0085794,movie,The King of Comedy,0,1982,\N,109,"Comedy,Crime,Drama",Martin Scorsese,7.8,86600.0
194,7419,Comedy|Thriller,tt0088680,movie,After Hours,0,1985,\N,97,"Comedy,Crime,Drama",Martin Scorsese,7.7,58280.0
